Name                                              Project       Compat             Latest             Kind         Platform
regex->regex-automata                             0.3.4         0.4.7              0.4.7              Normal       ---
regex->regex-automata                             0.3.4         0.4.7              Removed            Normal       ---
regex->regex-automata                             0.3.4         Removed            Removed            Normal       ---
regex->regex-syntax                               0.7.4         0.8.4              0.8.4              Normal       ---
regex->regex-syntax                               0.7.4         0.8.4              Removed            Normal       ---
regex->regex-syntax                               0.7.4         Removed            Removed            Normal       ---
regex-automata->aho-corasick                      1.0.2         1.1.3              1.1.3              Normal       ---
regex-automata->aho-corasick                      1.0.2         1.1.3              Removed            Normal       ---
regex-automata->aho-corasick                      1.0.2         Removed            Removed            Normal       ---
regex-automata->memchr                            2.5.0         2.7.4              2.7.4              Normal       ---
regex-automata->memchr                            2.5.0         2.7.4              Removed            Normal       ---
regex-automata->memchr                            2.5.0         Removed            Removed            Normal       ---
regex-automata->regex-syntax                      0.7.4         0.8.4              0.8.4              Normal       ---
regex-automata->regex-syntax                      0.7.4         0.8.4              Removed            Normal       ---
regex-automata->regex-syntax                      0.7.4         Removed            Removed            Normal       ---
rustix->bitflags                                  1.3.2         ---                Removed            Normal       ---
rustix->bitflags                                  2.3.3         2.6.0              2.6.0              Normal       ---
rustix->bitflags                                  2.3.3         Removed            Removed            Normal       ---
rustix->errno                                     0.3.2         0.3.9              0.3.9              Development  ---
rustix->errno                                     0.3.2         0.3.9              Removed            Development  ---
rustix->errno                                     0.3.2         Removed            Removed            Development  ---
rustix->io-lifetimes                              1.0.11        ---                Removed            Normal       ---
rustix->libc                                      0.2.155       0.2.156            0.2.156            Development  ---
rustix->libc                                      0.2.155       0.2.156            Removed            Development  ---
rustix->libc                                      0.2.155       Removed            Removed            Development  ---
rustix->linux-raw-sys                             0.3.8         ---                Removed            Normal       cfg(all(any(target_os = "android", target_os = "linux"), any(rustix_use_libc, miri, not(all(target_os = "linux", any(target_arch = "x86", all(target_arch = "x86_64", target_pointer_width = "64"), all(target_endian = "little", any(target_arch = "arm", all(target_arch = "aarch64", target_pointer_width = "64"), target_arch = "powerpc64", target_arch = "riscv64", target_arch = "mips", target_arch = "mips64"))))))))
rustix->linux-raw-sys                             0.4.5         0.4.14             0.4.14             Normal       cfg(all(any(target_os = "android", target_os = "linux"), any(rustix_use_libc, miri, not(all(target_os = "linux", target_endian = "little", any(target_arch = "arm", all(target_arch = "aarch64", target_pointer_width = "64"), target_arch = "riscv64", all(rustix_use_experimental_asm, target_arch = "powerpc64"), all(rustix_use_experimental_asm, target_arch = "mips"), all(rustix_use_experimental_asm, target_arch = "mips32r6"), all(rustix_use_experimental_asm, target_arch = "mips64"), all(rustix_use_experimental_asm, target_arch = "mips64r6"), target_arch = "x86", all(target_arch = "x86_64", target_pointer_width = "64")))))))
rustix->linux-raw-sys                             0.4.5         Removed            Removed            Normal       cfg(all(any(target_os = "android", target_os = "linux"), any(rustix_use_libc, miri, not(all(target_os = "linux", target_endian = "little", any(target_arch = "arm", all(target_arch = "aarch64", target_pointer_width = "64"), target_arch = "riscv64", all(rustix_use_experimental_asm, target_arch = "powerpc64"), all(rustix_use_experimental_asm, target_arch = "mips"), all(rustix_use_experimental_asm, target_arch = "mips32r6"), all(rustix_use_experimental_asm, target_arch = "mips64"), all(rustix_use_experimental_asm, target_arch = "mips64r6"), target_arch = "x86", all(target_arch = "x86_64", target_pointer_width = "64")))))))
rustix->windows-sys                               0.48.0        ---                Removed            Normal       cfg(windows)
rustix->windows-sys                               0.48.0        0.52.0             0.52.0             Normal       cfg(windows)
rustix->windows-sys                               0.48.0        Removed            Removed            Normal       cfg(windows)
rusty-fork->tempfile                              3.7.0         3.12.0             3.12.0             Normal       ---
same-file->winapi-util                            0.1.5         0.1.9              0.1.9              Normal       cfg(windows)
serde                                             1.0.180       1.0.208            1.0.208            Normal       ---
serde->serde_derive                               1.0.180       1.0.208            1.0.208            Normal       ---
serde_cbor->half                                  1.8.2         1.8.3              1.8.3              Normal       ---
serde_cbor->serde                                 1.0.180       1.0.208            1.0.208            Normal       ---
serde_derive->proc-macro2                         1.0.66        1.0.86             1.0.86             Normal       cfg(not(all(target_arch = "x86_64", target_os = "linux", target_env = "gnu")))
serde_derive->quote                               1.0.32        1.0.36             1.0.36             Normal       cfg(not(all(target_arch = "x86_64", target_os = "linux", target_env = "gnu")))
serde_derive->syn                                 2.0.28        2.0.74             2.0.74             Normal       cfg(not(all(target_arch = "x86_64", target_os = "linux", target_env = "gnu")))
serde_json                                        1.0.104       1.0.125            1.0.125            Normal       ---
serde_json->itoa                                  1.0.9         1.0.11             1.0.11             Normal       ---
serde_json->ryu                                   1.0.15        1.0.18             1.0.18             Normal       ---
serde_json->serde                                 1.0.180       1.0.208            1.0.208            Normal       ---
serde_spanned->serde                              1.0.180       1.0.208            1.0.208            Normal       ---
serde_yaml                                        0.9.25        0.9.34+deprecated  0.9.34+deprecated  Normal       ---
serde_yaml->indexmap                              2.0.0         2.4.0              2.4.0              Normal       ---
serde_yaml->itoa                                  1.0.9         1.0.11             1.0.11             Normal       ---
serde_yaml->ryu                                   1.0.15        1.0.18             1.0.18             Normal       ---
serde_yaml->serde                                 1.0.180       1.0.208            1.0.208            Normal       ---
serde_yaml->unsafe-libyaml                        0.2.9         0.2.11             0.2.11             Normal       ---
sha2->cpufeatures                                 0.2.9         0.2.13             0.2.13             Normal       cfg(any(target_arch = "aarch64", target_arch = "x86_64", target_arch = "x86"))
slug->deunicode                                   0.4.4         1.6.0              1.6.0              Normal       ---
strum                                             0.25.0        ---                0.26.3             Development  ---
strum_macros                                      0.25.1        0.25.3             0.26.4             Development  ---
strum_macros->heck                                0.4.1         ---                0.5.0              Normal       ---
strum_macros->proc-macro2                         1.0.66        1.0.86             1.0.86             Normal       ---
strum_macros->quote                               1.0.32        1.0.36             1.0.36             Normal       ---
strum_macros->rustversion                         1.0.14        1.0.17             1.0.17             Normal       ---
strum_macros->syn                                 2.0.28        2.0.74             2.0.74             Normal       ---
syn->proc-macro2                                  1.0.66        1.0.86             1.0.86             Normal       ---
syn->quote                                        1.0.32        1.0.36             1.0.36             Normal       ---
syn->unicode-ident                                1.0.11        1.0.12             1.0.12             Normal       ---
table_formatter->colored                          2.0.4         2.1.0              2.1.0              Normal       ---
table_formatter->thiserror                        1.0.44        1.0.63             1.0.63             Normal       ---
tempfile                                          3.7.0         3.12.0             3.12.0             Development  ---
tempfile->fastrand                                2.0.0         2.1.0              2.1.0              Normal       ---
tempfile->redox_syscall                           0.3.5         Removed            Removed            Normal       cfg(target_os = "redox")
tempfile->rustix                                  0.38.6        0.38.34            0.38.34            Normal       cfg(any(unix, target_os = "wasi"))
tempfile->windows-sys                             0.48.0        0.59.0             0.59.0             Normal       cfg(windows)
tera                                              1.19.0        1.20.0             1.20.0             Build        ---
tera->chrono                                      0.4.26        0.4.38             0.4.38             Normal       ---
tera->chrono-tz                                   0.6.1         0.9.0              0.9.0              Normal       ---
tera->globwalk                                    0.8.1         0.9.1              0.9.1              Normal       ---
tera->lazy_static                                 1.4.0         1.5.0              1.5.0              Normal       ---
tera->percent-encoding                            2.3.0         2.3.1              2.3.1              Normal       ---
tera->pest                                        2.7.2         2.7.11             2.7.11             Normal       ---
tera->pest_derive                                 2.7.2         2.7.11             2.7.11             Normal       ---
tera->regex                                       1.9.1         1.10.6             1.10.6             Normal       ---
tera->serde                                       1.0.180       1.0.208            1.0.208            Normal       ---
tera->serde_json                                  1.0.104       1.0.125            1.0.125            Normal       ---
tera->slug                                        0.1.4         0.1.6              0.1.6              Normal       ---
tera->thread_local                                1.1.4         Removed            Removed            Normal       ---
term_size->libc                                   0.2.155       0.2.156            0.2.156            Normal       cfg(not(target_os = "windows"))
termcolor->winapi-util                            0.1.5         0.1.9              Removed            Normal       cfg(windows)
terminal_size->rustix                             0.37.23       0.37.27            Removed            Normal       cfg(not(windows))
terminal_size->windows-sys                        0.48.0        ---                Removed            Normal       cfg(windows)
textwrap->terminal_size                           0.2.6         ---                Removed            Normal       ---
thiserror->thiserror-impl                         1.0.44        1.0.63             1.0.63             Normal       ---
thiserror-impl->proc-macro2                       1.0.66        1.0.86             1.0.86             Normal       ---
thiserror-impl->quote                             1.0.32        1.0.36             1.0.36             Normal       ---
thiserror-impl->syn                               2.0.28        2.0.74             2.0.74             Normal       ---
thread_local->once_cell                           1.18.0        Removed            Removed            Normal       ---
toml                                              0.7.6         0.7.8              0.8.19             Normal       ---
toml->serde                                       1.0.180       1.0.208            1.0.208            Normal       ---
toml->serde_spanned                               0.6.3         0.6.7              0.6.7              Normal       ---
toml->toml_datetime                               0.6.3         0.6.8              0.6.8              Normal       ---
toml->toml_edit                                   0.19.14       0.19.15            0.22.20            Normal       ---
toml_datetime->serde                              1.0.180       1.0.208            1.0.208            Normal       ---
toml_edit->indexmap                               2.0.0         2.4.0              2.4.0              Normal       ---
toml_edit->serde                                  1.0.180       1.0.208            1.0.208            Normal       ---
toml_edit->serde_spanned                          0.6.3         0.6.7              0.6.7              Normal       ---
toml_edit->toml_datetime                          0.6.3         0.6.8              0.6.8              Normal       ---
toml_edit->winnow                                 0.5.3         0.5.40             0.6.18             Normal       ---
uncased->version_check                            0.9.4         Removed            Removed            Build        ---
unicode-normalization->tinyvec                    1.6.0         1.8.0              1.8.0              Normal       ---
url->form_urlencoded                              1.2.0         1.2.1              1.2.1              Normal       ---
url->idna                                         0.4.0         0.5.0              0.5.0              Normal       ---
url->percent-encoding                             2.3.0         2.3.1              2.3.1              Normal       ---
wait-timeout->libc                                0.2.155       0.2.156            0.2.156            Normal       cfg(unix)
walkdir->winapi-util                              0.1.5         0.1.9              0.1.9              Normal       cfg(windows)
wasm-bindgen->wasm-bindgen-macro                  0.2.87        0.2.93             0.2.93             Normal       ---
wasm-bindgen-backend->bumpalo                     3.13.0        3.16.0             3.16.0             Normal       ---
wasm-bindgen-backend->log                         0.4.19        0.4.22             0.4.22             Normal       ---
wasm-bindgen-backend->once_cell                   1.18.0        1.19.0             1.19.0             Normal       ---
wasm-bindgen-backend->proc-macro2                 1.0.66        1.0.86             1.0.86             Normal       ---
wasm-bindgen-backend->quote                       1.0.32        1.0.36             1.0.36             Normal       ---
wasm-bindgen-backend->syn                         2.0.28        2.0.74             2.0.74             Normal       ---
wasm-bindgen-backend->wasm-bindgen-shared         0.2.87        0.2.93             0.2.93             Normal       ---
wasm-bindgen-macro->quote                         1.0.32        1.0.36             1.0.36             Normal       ---
wasm-bindgen-macro->wasm-bindgen-macro-support    0.2.87        0.2.93             0.2.93             Normal       ---
wasm-bindgen-macro-support->proc-macro2           1.0.66        1.0.86             1.0.86             Normal       ---
wasm-bindgen-macro-support->quote                 1.0.32        1.0.36             1.0.36             Normal       ---
wasm-bindgen-macro-support->syn                   2.0.28        2.0.74             2.0.74             Normal       ---
wasm-bindgen-macro-support->wasm-bindgen-backend  0.2.87        0.2.93             0.2.93             Normal       ---
wasm-bindgen-macro-support->wasm-bindgen-shared   0.2.87        0.2.93             0.2.93             Normal       ---
